FID,PINCODE,STATE,DISTRICT,OFFICENAME
0,605758,Tamil Nadu,Viluppuram,Virapandi
1,605759,Tamil Nadu,Viluppuram,Manampoondi
2,110025,Nct Of Delhi,South East,Sukhdev Vihar
3,761105,Odisha,Ganjam,Polosara
4,605766,Tamil Nadu,Viluppuram,Santhapettai
5,713421,West Bengal,Purba Bardhaman,Raina
6,302015,Rajasthan,Jaipur,Bajaj Nagar
7,202002,Uttar Pradesh,Aligarh,Medical College (Aligarh)
8,302012,Rajasthan,Jaipur,Industrial Area Jhotwara
9,605801,Tamil Nadu,Viluppuram,Ariyalur (Villupuram)
10,175030,Himachal Pradesh,Mandi,Dehar
